season,league,competition,category,section,section_label,match_date,kickoff_time,home_team,away_team,home_score,away_score,stadium,attendance,status,match_url,match_id
2026_special,J1,明治安田Ｊ１百年構想 EASTグループ,100yj1,6,第６節第１日,2026-03-14,14:03,mito,FCtk,1,1,Ｋｓスタ,7439,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=20261&competition_frame_ids=35&tv_relay_station_name=,2026_special-100yj1-6-mito-vs-FCtk
2026_special,J1,明治安田Ｊ１百年構想 EASTグループ,100yj1,6,第６節第１日,2026-03-14,15:03,kasm,ka-f,1,0,メルスタ,24916,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=20261&competition_frame_ids=35&tv_relay_station_name=,2026_special-100yj1-6-kasm-vs-ka-f
2026_special,J1,明治安田Ｊ１百年構想 EASTグループ,100yj1,6,第６節第１日,2026-03-14,16:03,tk-v,uraw,1,0,MUFG国立,43725,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=20261&competition_frame_ids=35&tv_relay_station_name=,2026_special-100yj1-6-tk-v-vs-uraw
2026_special,J1,明治安田Ｊ１百年構想 WESTグループ,100yj1,6,第６節第１日,2026-03-14,14:03,nago,kobe,0,3,豊田ス,35041,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=20261&competition_frame_ids=35&tv_relay_station_name=,2026_special-100yj1-6-nago-vs-kobe
2026_special,J1,明治安田Ｊ１百年構想 WESTグループ,100yj1,6,第６節第１日,2026-03-14,14:03,kyot,c-os,1,2,サンガＳ,17009,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=20261&competition_frame_ids=35&tv_relay_station_name=,2026_special-100yj1-6-kyot-vs-c-os
2026_special,J1,明治安田Ｊ１百年構想 WESTグループ,100yj1,6,第６節第１日,2026-03-14,14:03,shim,okay,1,1,アイスタ,13582,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=20261&competition_frame_ids=35&tv_relay_station_name=,2026_special-100yj1-6-shim-vs-okay
2026_special,J1,明治安田Ｊ１百年構想 WESTグループ,100yj1,6,第６節第１日,2026-03-14,15:01,hiro,g-os,2,0,Ｅピース,26671,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=20261&competition_frame_ids=35&tv_relay_station_name=,2026_special-100yj1-6-hiro-vs-g-os
2026_special,J1,明治安田Ｊ１百年構想 WESTグループ,100yj1,6,第６節第２日,2026-03-15,14:04,ngsk,fuku,1,0,ピースタ,20061,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=20261&competition_frame_ids=35&tv_relay_station_name=,2026_special-100yj1-6-ngsk-vs-fuku
2026_special,J1,明治安田Ｊ１百年構想 EASTグループ,100yj1,7,第７節第１日,2026-03-18,19:03,mito,y-fm,1,0,Ｋｓスタ,7122,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=20261&competition_frame_ids=35&tv_relay_station_name=,2026_special-100yj1-7-mito-vs-y-fm
2026_special,J1,明治安田Ｊ１百年構想 EASTグループ,100yj1,7,第７節第１日,2026-03-18,19:03,tk-v,ka-f,0,2,味スタ,15215,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=20261&competition_frame_ids=35&tv_relay_station_name=,2026_special-100yj1-7-tk-v-vs-ka-f
2026_special,J1,明治安田Ｊ１百年構想 EASTグループ,100yj1,7,第７節第１日,2026-03-18,19:03,chib,FCtk,1,2,フクアリ,13046,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=20261&competition_frame_ids=35&tv_relay_station_name=,2026_special-100yj1-7-chib-vs-FCtk
2026_special,J1,明治安田Ｊ１百年構想 EASTグループ,100yj1,7,第７節第１日,2026-03-18,19:33,uraw,kasw,1,1,埼玉,27106,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=20261&competition_frame_ids=35&tv_relay_station_name=,2026_special-100yj1-7-uraw-vs-kasw
2026_special,J1,明治安田Ｊ１百年構想 EASTグループ,100yj1,7,第７節第１日,2026-03-18,19:33,mcd,kasm,0,3,MUFG国立,42218,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=20261&competition_frame_ids=35&tv_relay_station_name=,2026_special-100yj1-7-mcd-vs-kasm
2026_special,J1,明治安田Ｊ１百年構想 WESTグループ,100yj1,7,第７節第１日,2026-03-18,18:33,c-os,okay,1,2,ヨドコウ,13230,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=20261&competition_frame_ids=35&tv_relay_station_name=,2026_special-100yj1-7-c-os-vs-okay
2026_special,J1,明治安田Ｊ１百年構想 WESTグループ,100yj1,7,第７節第１日,2026-03-18,19:03,nago,hiro,2,1,豊田ス,18242,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=20261&competition_frame_ids=35&tv_relay_station_name=,2026_special-100yj1-7-nago-vs-hiro
2026_special,J1,明治安田Ｊ１百年構想 WESTグループ,100yj1,7,第７節第１日,2026-03-18,19:03,fuku,shim,1,1,ベススタ,4126,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=20261&competition_frame_ids=35&tv_relay_station_name=,2026_special-100yj1-7-fuku-vs-shim
2026_special,J1,明治安田Ｊ１百年構想 WESTグループ,100yj1,7,第７節第１日,2026-03-18,19:03,kobe,g-os,2,2,ノエスタ,21690,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=20261&competition_frame_ids=35&tv_relay_station_name=,2026_special-100yj1-7-kobe-vs-g-os
2026_special,J1,明治安田Ｊ１百年構想 WESTグループ,100yj1,7,第７節第１日,2026-03-18,19:03,ngsk,kyot,1,2,ピースタ,18678,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=20261&competition_frame_ids=35&tv_relay_station_name=,2026_special-100yj1-7-ngsk-vs-kyot
2026_special,J1,明治安田Ｊ１百年構想 WESTグループ,100yj1,8,第８節第１日,2026-03-21,14:03,okay,ngsk,0,1,ＪＦＥス,14150,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=20261&competition_frame_ids=35&tv_relay_station_name=,2026_special-100yj1-8-okay-vs-ngsk
2026_special,J1,明治安田Ｊ１百年構想 WESTグループ,100yj1,8,第８節第１日,2026-03-21,14:35,fuku,g-os,2,2,ベススタ,7631,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=20261&competition_frame_ids=35&tv_relay_station_name=,2026_special-100yj1-8-fuku-vs-g-os
2026_special,J1,明治安田Ｊ１百年構想 EASTグループ,100yj1,8,第８節第１日,2026-03-22,14:03,tk-v,FCtk,0,0,味スタ,29777,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=20261&competition_frame_ids=35&tv_relay_station_name=,2026_special-100yj1-8-tk-v-vs-FCtk
2026_special,J1,明治安田Ｊ１百年構想 EASTグループ,100yj1,8,第８節第１日,2026-03-22,15:03,ka-f,y-fm,0,5,MUFG国立,50275,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=20261&competition_frame_ids=35&tv_relay_station_name=,2026_special-100yj1-8-ka-f-vs-y-fm
2026_special,J1,明治安田Ｊ１百年構想 EASTグループ,100yj1,8,第８節第１日,2026-03-22,15:03,kasm,chib,2,1,メルスタ,27758,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=20261&competition_frame_ids=35&tv_relay_station_name=,2026_special-100yj1-8-kasm-vs-chib
2026_special,J1,明治安田Ｊ１百年構想 EASTグループ,100yj1,8,第８節第１日,2026-03-22,16:03,kasw,mito,3,0,三協Ｆ柏,12733,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=20261&competition_frame_ids=35&tv_relay_station_name=,2026_special-100yj1-8-kasw-vs-mito
2026_special,J1,明治安田Ｊ１百年構想 EASTグループ,100yj1,8,第８節第１日,2026-03-22,16:03,uraw,mcd,1,2,埼玉,34782,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=20261&competition_frame_ids=35&tv_relay_station_name=,2026_special-100yj1-8-uraw-vs-mcd
2026_special,J1,明治安田Ｊ１百年構想 WESTグループ,100yj1,8,第８節第２日,2026-03-22,13:04,shim,hiro,3,1,アイスタ,16012,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=20261&competition_frame_ids=35&tv_relay_station_name=,2026_special-100yj1-8-shim-vs-hiro
2026_special,J1,明治安田Ｊ１百年構想 WESTグループ,100yj1,8,第８節第２日,2026-03-22,14:03,kyot,nago,1,1,サンガＳ,18841,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=20261&competition_frame_ids=35&tv_relay_station_name=,2026_special-100yj1-8-kyot-vs-nago
2026_special,J1,明治安田Ｊ１百年構想 WESTグループ,100yj1,8,第８節第２日,2026-03-22,15:03,c-os,kobe,1,1,ヨドコウ,20496,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=20261&competition_frame_ids=35&tv_relay_station_name=,2026_special-100yj1-8-c-os-vs-kobe
2026_special,J1,明治安田Ｊ１百年構想 WESTグループ,100yj1,5,第５節第３日,2026-03-27,19:03,kobe,hiro,2,1,ノエスタ,19200,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=20261&competition_frame_ids=35&tv_relay_station_name=,2026_special-100yj1-5-kobe-vs-hiro
2026_special,J1,明治安田Ｊ１百年構想 EASTグループ,100yj1,5,第５節第２日,2026-03-28,14:03,mcd,ka-f,1,1,Ｇスタ,11316,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=20261&competition_frame_ids=35&tv_relay_station_name=,2026_special-100yj1-5-mcd-vs-ka-f
2026_special,J1,明治安田Ｊ１百年構想 EASTグループ,100yj1,11,第１１節第１日,2026-04-01,19:03,mcd,FCtk,0,3,Ｇスタ,5851,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=20261&competition_frame_ids=35&tv_relay_station_name=,2026_special-100yj1-11-mcd-vs-FCtk
2026_special,J1,明治安田Ｊ１百年構想 WESTグループ,100yj1,11,第１１節第１日,2026-04-01,19:03,kobe,shim,2,0,ノエスタ,10069,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=20261&competition_frame_ids=35&tv_relay_station_name=,2026_special-100yj1-11-kobe-vs-shim
2026_special,J1,明治安田Ｊ１百年構想 EASTグループ,100yj1,9,第９節第１日,2026-04-04,13:03,chib,tk-v,3,2,フクアリ,13024,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=20261&competition_frame_ids=35&tv_relay_station_name=,2026_special-100yj1-9-chib-vs-tk-v
