column,total_rows,actual_count,fallback_count,actual_rate,fallback_rate,top_source,source_counts
Home_Prev_Red Cards,379,0,379,0.0,1.0,fallback_team_median,"{""fallback_team_median"": 379}"
Home_Prev_Average Possession,379,0,379,0.0,1.0,fallback_team_median,"{""fallback_team_median"": 379}"
Home_Prev_Chances Created,379,0,379,0.0,1.0,fallback_team_median,"{""fallback_team_median"": 379}"
Home_Prev_Duels Won,379,0,379,0.0,1.0,fallback_team_median,"{""fallback_team_median"": 379}"
Home_Prev_Recoveries,379,0,379,0.0,1.0,fallback_team_median,"{""fallback_team_median"": 379}"
Home_Prev_Expected Goals,379,0,379,0.0,1.0,fallback_team_median,"{""fallback_team_median"": 379}"
Home_Prev_Expected Goals Against,379,0,379,0.0,1.0,fallback_team_median,"{""fallback_team_median"": 379}"
Home_Prev_Avg Distance Covered,379,0,379,0.0,1.0,fallback_team_median,"{""fallback_team_median"": 379}"
Home_Prev_Avg Sprints,379,0,379,0.0,1.0,fallback_team_median,"{""fallback_team_median"": 379}"
Home_Prev_Distance Covered (In Possession),379,0,379,0.0,1.0,fallback_team_median,"{""fallback_team_median"": 379}"
Home_Prev_Sprints (In Possession),379,0,379,0.0,1.0,fallback_team_median,"{""fallback_team_median"": 379}"
Home_Prev_Distance Covered (Out of Possession),379,0,379,0.0,1.0,fallback_team_median,"{""fallback_team_median"": 379}"
Home_Prev_Sprints (Out of Possession),379,0,379,0.0,1.0,fallback_team_median,"{""fallback_team_median"": 379}"
Away_Prev_Total Shots,379,0,379,0.0,1.0,fallback_team_median,"{""fallback_team_median"": 379}"
Away_Prev_Shots on Target,379,0,379,0.0,1.0,fallback_team_median,"{""fallback_team_median"": 379}"
Away_Prev_Total Shots Against,379,0,379,0.0,1.0,fallback_team_median,"{""fallback_team_median"": 379}"
Away_Prev_Total Goals,379,0,379,0.0,1.0,fallback_team_median,"{""fallback_team_median"": 379}"
Away_Prev_Total Goals Against,379,0,379,0.0,1.0,fallback_team_median,"{""fallback_team_median"": 379}"
Away_Prev_Clean Sheets,379,0,379,0.0,1.0,fallback_team_median,"{""fallback_team_median"": 379}"
Away_Prev_Total Passes,379,0,379,0.0,1.0,fallback_team_median,"{""fallback_team_median"": 379}"
Away_Prev_Total Dribbles,379,0,379,0.0,1.0,fallback_team_median,"{""fallback_team_median"": 379}"
Away_Prev_Total Through Passes,379,0,379,0.0,1.0,fallback_team_median,"{""fallback_team_median"": 379}"
Away_Prev_Total Crosses,379,0,379,0.0,1.0,fallback_team_median,"{""fallback_team_median"": 379}"
Away_Prev_Total Clearances,379,0,379,0.0,1.0,fallback_team_median,"{""fallback_team_median"": 379}"
Away_Prev_Total Tackles,379,0,379,0.0,1.0,fallback_team_median,"{""fallback_team_median"": 379}"
Away_Prev_Total Blocks,379,0,379,0.0,1.0,fallback_team_median,"{""fallback_team_median"": 379}"
Away_Prev_Total Fouls,379,0,379,0.0,1.0,fallback_team_median,"{""fallback_team_median"": 379}"
Away_Prev_Total Interceptions,379,0,379,0.0,1.0,fallback_team_median,"{""fallback_team_median"": 379}"
Away_Prev_Aerial Duels Won,379,0,379,0.0,1.0,fallback_team_median,"{""fallback_team_median"": 379}"
